X,Y,OBJECTID,siteID,siteName,radarType,antennaElevation
-98.413045999685508,45.455833000288344,1,KABR,ABERDEEN,NEXRAD,Unknown
-106.823880000343493,35.149722000063619,2,KABX,ALBUQUERQUE,NEXRAD,Unknown
-77.007491000111415,36.983889000171636,3,KAKQ,NORFOLK,NEXRAD,Unknown
-101.709268999675842,35.233333000076009,4,KAMA,AMARILLO,NEXRAD,Unknown
-80.413048000044341,25.610556000024879,5,KAMX,MIAMI,NEXRAD,Unknown
-84.719522999918894,44.906350000312621,6,KAPX,NCL MICHIGAN,NEXRAD,Unknown
-91.191101000018151,43.822777999779277,7,KARX,LA CROSSE,NEXRAD,Unknown
-122.495684000415508,48.194610999704508,8,KATX,SEATTLE,NEXRAD,Unknown
-121.631657999985634,39.496110999856121,9,KBBX,BEALE AFB,NEXRAD,Unknown
-75.984712999703248,42.199693999875613,10,KBGM,BINGHAMTON,NEXRAD,Unknown
-124.292158000385342,40.498333000263614,11,KBHX,EUREKA (BUNKER HILL),NEXRAD,Unknown
-100.760268000415223,46.770832999919463,12,KBIS,BISMARCK,NEXRAD,Unknown
-108.606795999919697,45.853777999786594,13,KBLX,BILLINGS,NEXRAD,Unknown
-86.769712999654246,33.171943999930193,14,KBMX,BIRMINGHAM,NEXRAD,Unknown
-71.1368510003865,41.955777999676179,15,KBOX,BOSTON,NEXRAD,Unknown
-97.418603000430537,25.915556000081398,16,KBRO,BROWNSVILLE,NEXRAD,Unknown
-78.736934999792666,42.948610999822264,17,KBUF,BUFFALO,NEXRAD,Unknown
-81.703324999844256,24.596943999597684,18,KBYX,KEY WEST,NEXRAD,Unknown
-81.118601999980029,33.948611000350382,19,KCAE,COLUMBIA,NEXRAD,Unknown
-67.806407000346212,46.039166999864875,20,KCBW,CARIBOU,NEXRAD,Unknown
-116.23602300004282,43.490216999930148,21,KCBX,BOISE,NEXRAD,Unknown
-78.003880000003448,40.923055999811588,22,KCCX,STATE COLLEGE,NEXRAD,Unknown
-81.859991000341736,41.41305599967697,23,KCLE,CLEVELAND,NEXRAD,Unknown
-81.04218600005602,32.655527999739263,24,KCLX,"CHARLESTON, SC",NEXRAD,Unknown
-97.459990999667411,35.23833300007292,25,KCRI,ROC FAA REDUNDANT (RDA 1),NEXRAD,Unknown
-97.51082499971244,27.783888999853602,26,KCRP,CORPUS CHRISTI,NEXRAD,Unknown
-73.166379000290476,44.511110999757939,27,KCXX,BURLINGTON,NEXRAD,Unknown
-104.806102000288433,41.151943999856627,28,KCYS,CHEYENNE,NEXRAD,Unknown
-121.677823999878186,38.501111000333772,29,KDAX,SACRAMENTO,NEXRAD,Unknown
-99.968880000234719,37.760833000285565,30,KDDC,DODGE CITY,NEXRAD,Unknown
-100.280269999892312,29.272499999989794,31,KDFX,LAUGHLIN AFB,NEXRAD,Unknown
-89.984435999641434,32.280000000002993,32,KDGX,"JACKSON/BRANDON, MS",NEXRAD,Unknown
-74.410712999780614,39.946944000200297,33,KDIX,PHILADELPHIA,NEXRAD,Unknown
-92.209711999690924,46.836943999877384,34,KDLH,DULUTH,NEXRAD,Unknown
-93.722851999700481,41.73111100024186,35,KDMX,DES MOINES,NEXRAD,Unknown
-75.439991000277203,38.825555999650561,36,KDOX,DOVER AFB,NEXRAD,Unknown
-83.471657999727981,42.700000000098584,37,KDTX,DETROIT,NEXRAD,Unknown
-90.580823999864037,41.611667000115531,38,KDVN,QUAD CITIES,NEXRAD,Unknown
-99.254159000048404,32.538333000167157,39,KDYX,DYESS AFB,NEXRAD,Unknown
-94.26446300034695,38.810250000272745,40,KEAX,PLEASANT HILL,NEXRAD,Unknown
-110.630269999799069,31.893611000129582,41,KEMX,TUCSON,NEXRAD,Unknown
-74.064074000401249,42.586556000261737,42,KENX,ALBANY,NEXRAD,Unknown
-85.45938099974525,31.460556000161954,43,KEOX,FT RUCKER,NEXRAD,Unknown
-106.697991999957082,31.873055999946132,44,KEPZ,EL PASO,NEXRAD,Unknown
-114.891381000395398,35.701110999769718,45,KESX,LAS VEGAS,NEXRAD,Unknown
-85.921659000060259,30.565033000250843,46,KEVX,EGLIN AFB,NEXRAD,Unknown
-98.028602999676878,29.704056000061133,47,KEWX,AUSTIN/SAN ANTONIO,NEXRAD,Unknown
-117.560741000000732,35.097777999705798,48,KEYX,EDWARDS AFB,NEXRAD,Unknown
-80.274157999831218,37.024166999688724,49,KFCX,ROANOKE,NEXRAD,Unknown
-98.976659000004702,34.362194000128618,50,KFDR,ALTUS AFB,NEXRAD,Unknown
-103.618881000100515,34.634166999966972,51,KFDX,CANNON AFB,NEXRAD,Unknown
-84.565824999882466,33.363333000331906,52,KFFC,ATLANTA,NEXRAD,Unknown
-96.728879999967091,43.587778000144631,53,KFSD,SIOUX FALLS,NEXRAD,Unknown
-111.198434999919783,34.574333000049087,54,KFSX,FLAGSTAFF (RDA 1),NEXRAD,Unknown
-104.545796999847752,39.78663900030849,55,KFTG,DENVER,NEXRAD,Unknown
-97.303130999899466,32.572777999984865,56,KFWS,DALLAS/FT WORTH,NEXRAD,Unknown
-106.624683000411309,48.206360999851356,57,KGGW,GLASGOW,NEXRAD,Unknown
-108.213752000273189,39.062221999810596,58,KGJX,GRAND JUNCTION (RDA 1),NEXRAD,Unknown
-101.700268999829817,39.366943999777419,59,KGLD,GOODLAND,NEXRAD,Unknown
-88.111101000406961,44.498633000035539,60,KGRB,GREEN BAY,NEXRAD,Unknown
-97.382769999654343,30.721667000221238,61,KGRK,FT HOOD,NEXRAD,Unknown
-85.544880000254281,42.893889000033759,62,KGRR,GRAND RAPIDS,NEXRAD,Unknown
-82.219824999891642,34.883306000012425,63,KGSP,GREER,NEXRAD,Unknown
